,gameId,playId,Pressure Array,playDescription,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,passResult,penaltyYards,prePenaltyPlayResult,playResult,foulName1,foulNFLId1,foulName2,foulNFLId2,foulName3,foulNFLId3,absoluteYardlineNumber,offenseFormation,personnelO,defendersInBox,personnelD,dropBackType,pff_playAction,pff_passCoverage,pff_passCoverageType,maximas,pff_sack,pff_hitAllowed,pff_hurryAllowed
0,2021090900,137,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011054953860286283, 0.006461146215300065, 0.06137846130594166, 0.09357086702615516, 0.0927981879591381, 0.10426049864678653, 0.1632863452165419, 0.1291945912374137, 0.12524557621659343, 0.1943425202532315, 0.33535875704885026, 0.40800184828768454, 0.4733206235342213, 0.5330576180100106, 0.608711527428621, 0.8395406549142144, 0.7148371449031464]",(13:18) (Shotgun) D.Prescott pass deep left to A.Cooper pushed ob at DAL 30 for 28 yards (A.Winfield).,1.0,1.0,10.0,DAL,TB,DAL,2.0,13:18,0.0,0.0,C,,28.0,28.0,,,,,,,108.0,EMPTY,"1 RB, 2 TE, 2 WR",6.0,"4 DL, 4 LB, 3 DB",TRADITIONAL,0.0,Cover-3,Zone,0.8395406549142144,,,
1,2021090900,187,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001224228700196968, 0.023402676109741297, 0.03690169620945186, 0.04977911357744205, 0.0724522073169842, 0.06375430527470137, 0.1388703163812499]",(12:23) (Shotgun) D.Prescott pass short middle to D.Schultz to DAL 39 for 5 yards (D.White).,1.0,2.0,6.0,DAL,TB,DAL,34.0,12:23,0.0,0.0,C,,5.0,5.0,,,,,,,76.0,SHOTGUN,"0 RB, 2 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,0.0,Cover-3,Zone,0.1388703163812499,,,
2,2021090900,349,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02751841503262205, 0.08820570389468521, 0.1676205256370544, 0.1614714278901674, 0.23587216005525746, 0.3247900700195442, 0.4275795067992586, 0.5340706539970881, 0.6325531575129438, 0.6972921622891025, 0.7672574612376214, 0.8194991474828505, 0.8679081743325263, 0.8864563830335398, 0.8979206985660192, 0.7158335822593538]",(9:46) (Shotgun) D.Prescott pass incomplete short left to C.Lamb [L.David].,1.0,3.0,15.0,DAL,TB,TB,44.0,09:46,0.0,0.0,I,,0.0,0.0,,,,,,,54.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 4 LB, 4 DB",TRADITIONAL,0.0,Cover-3,Zone,0.8979206985660192,,1.0,
3,2021090900,410,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014082746012031853, 0.0, 0.0, 0.0, 0.046873402512397716, 0.11553332708519694, 0.27871922911951985]",(8:53) (Shotgun) T.Brady pass short middle to M.Evans to TB 21 for 10 yards (T.Diggs).,1.0,2.0,5.0,TB,DAL,TB,11.0,08:53,0.0,0.0,C,,10.0,10.0,,,,,,,21.0,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,Cover-1,Man,0.27871922911951985,,,
4,2021090900,434,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","(8:24) (No Huddle, Shotgun) T.Brady pass incomplete short left to M.Evans.",1.0,1.0,10.0,TB,DAL,TB,21.0,08:24,0.0,0.0,I,,0.0,0.0,,,,,,,31.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,Cover-3,Zone,0.0,,,
5,2021090900,456,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009311605849848801, 0.08680435717506835, 0.16912412644815095, 0.27052410030510987, 0.4243882419207574, 0.5252912564427099, 0.5699467290923675, 0.6150771791809228]",(8:20) (Shotgun) T.Brady pass deep middle to R.Gronkowski to TB 40 for 19 yards (D.Kazee).,1.0,2.0,10.0,TB,DAL,TB,21.0,08:20,0.0,0.0,C,,19.0,19.0,,,,,,,31.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,Cover-6,Zone,0.6150771791809228,,,
6,2021090900,480,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014378234024000252, 0.06194055763845647, 0.07959312321775452, 0.09675549134332438, 0.2792093339156868, 0.32876074362328417, 0.38411335048599426, 0.4096531785838253, 0.43400033445535885, 0.45222233058523753, 0.4539941033682618, 0.4448624456102741, 0.4270190531968535, 0.4003007749539588, 0.4064324417523719, 0.40965396407744614, 0.48012735391545375, 0.5851787194515393, 0.6049365780763408, 0.6463786956611549]","(7:53) (No Huddle, Shotgun) T.Brady pass deep right to A.Brown ran ob at DAL 32 for 28 yards (A.Brown).",1.0,1.0,10.0,TB,DAL,TB,40.0,07:53,0.0,0.0,C,,28.0,28.0,,,,,,,50.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,Cover-3,Zone,0.6463786956611549,,,
7,2021090900,509,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011665366618289392, 0.10081583879453902, 0.19083129819666086, 0.2549412168967176, 0.3057461656806711, 0.40354721425473133, 0.459485792010266, 0.5179482876466878, 0.5728943037609897, 0.6309334436596483, 0.6146917733870068, 0.6464381523151407]","(7:30) (No Huddle, Shotgun) T.Brady pass short right to A.Brown pushed ob at DAL 16 for 16 yards (A.Brown; K.Neal).",1.0,1.0,10.0,TB,DAL,DAL,32.0,07:30,0.0,0.0,C,,16.0,16.0,,,,,,,78.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,Quarters,Zone,0.6464381523151407,,,
8,2021090900,559,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026805355724622462, 0.1250009093901679, 0.2261457252977842, 0.33535657494749177, 0.47236713114343587, 0.6645064168063637, 0.8326130353622684]",(6:13) (Shotgun) T.Brady pass short right to C.Godwin to DAL 5 for 8 yards (A.Brown).,1.0,2.0,7.0,TB,DAL,DAL,13.0,06:13,0.0,0.0,C,,8.0,8.0,,,,,,,97.0,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,Quarters,Zone,0.8326130353622684,,,
9,2021090900,583,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","(5:26) (Shotgun) T.Brady pass short middle to C.Godwin for 5 yards, TOUCHDOWN.",1.0,1.0,5.0,TB,DAL,DAL,5.0,05:26,0.0,0.0,C,,5.0,5.0,,,,,,,105.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,1.0,Cover-1,Man,0.0,,,
